iter	Logloss
0	0.6587976612
1	0.6267049932
2	0.5955716145
3	0.5693053011
4	0.546326194
5	0.5270286259
6	0.509298571
7	0.4942824741
8	0.4782562702
9	0.4642840996
10	0.4506261967
11	0.4396774304
12	0.4310242632
13	0.4224703983
14	0.4141236722
15	0.4057585261
16	0.3994135539
17	0.3931616783
18	0.3871731144
19	0.3822599715
20	0.3789059634
21	0.3733243973
22	0.3704262015
23	0.3659129711
24	0.3620772219
25	0.3579061623
26	0.3546434973
27	0.3518691007
28	0.3479263057
29	0.3454188137
30	0.3432746503
31	0.3403258902
32	0.337656254
33	0.3355330532
34	0.3337156626
35	0.3313526153
36	0.3287712164
37	0.3265872104
38	0.3233488774
39	0.3209797185
40	0.3193413147
41	0.318129635
42	0.3165655312
43	0.3152275278
44	0.3140103292
45	0.3120250547
46	0.3104050535
47	0.3086075831
48	0.3075540624
49	0.3049079489
