iter	Passed	Remaining
0	139	139270
1	141	70376
2	142	47219
3	143	35813
4	145	29000
5	147	24510
6	149	21272
7	151	18828
8	153	16895
9	155	15412
10	156	14107
11	158	13057
12	160	12197
13	162	11434
14	163	10738
15	165	10190
16	167	9685
17	169	9236
18	171	8845
19	173	8513
20	176	8244
21	179	7972
22	183	7792
23	186	7566
24	187	7327
25	190	7146
26	209	7538
27	211	7325
28	213	7157
29	216	7004
30	218	6830
31	220	6670
32	222	6517
33	224	6371
34	225	6221
35	227	6090
36	229	5977
37	231	5859
38	233	5742
39	234	5632
40	236	5534
41	238	5436
42	240	5342
43	241	5254
44	243	5172
45	245	5098
46	247	5017
47	249	4945
48	250	4866
49	252	4803
50	254	4735
51	256	4676
52	258	4613
53	259	4550
54	261	4499
55	263	4447
56	265	4393
57	267	4346
58	269	4295
59	271	4247
60	273	4207
61	275	4163
62	276	4118
63	278	4078
64	280	4038
65	282	3997
66	284	3956
67	285	3917
68	287	3882
69	289	3846
70	291	3812
71	293	3781
72	295	3747
73	296	3711
74	298	3679
75	300	3648
76	301	3616
77	303	3586
78	304	3553
79	306	3529
80	308	3504
81	310	3479
82	312	3450
83	314	3425
84	315	3399
85	317	3373
86	319	3355
87	321	3332
88	323	3308
89	325	3290
90	327	3268
91	328	3246
92	331	3228
93	332	3208
94	334	3190
95	336	3171
96	338	3150
97	340	3130
98	341	3111
99	343	3092
100	345	3072
101	347	3057
102	348	3039
103	350	3021
104	352	3004
105	354	2987
106	355	2970
107	357	2955
108	359	2937
109	361	2922
110	363	2908
111	364	2892
112	366	2876
113	368	2861
114	370	2847
115	371	2833
116	373	2820
117	375	2807
118	377	2794
119	379	2782
120	381	2769
121	382	2756
122	384	2744
123	386	2732
124	389	2723
125	391	2713
126	392	2700
127	394	2690
128	396	2678
129	398	2668
130	400	2659
131	402	2649
132	405	2645
133	407	2634
134	410	2627
135	411	2617
136	413	2607
137	416	2602
138	418	2592
139	420	2584
140	422	2575
141	424	2566
142	427	2560
143	429	2551
144	431	2545
145	433	2537
146	435	2527
147	437	2520
148	439	2510
149	441	2501
150	443	2493
151	445	2484
152	447	2476
153	449	2466
154	450	2456
155	452	2446
156	454	2438
157	455	2425
158	456	2416
159	458	2409
160	460	2400
161	462	2391
162	464	2383
163	465	2374
164	467	2365
165	469	2358
166	471	2349
167	472	2340
168	474	2334
169	476	2326
170	478	2319
171	480	2313
172	482	2307
173	484	2300
174	486	2294
175	488	2286
176	490	2280
177	492	2272
178	493	2265
179	496	2260
180	497	2253
181	499	2243
182	501	2239
183	503	2233
184	505	2226
185	507	2220
186	509	2214
187	511	2209
188	513	2203
189	515	2196
190	517	2191
191	519	2186
192	521	2180
193	523	2174
194	525	2168
195	527	2164
196	529	2157
197	531	2151
198	533	2145
199	534	2139
200	536	2133
201	538	2127
202	540	2121
203	541	2114
204	543	2108
205	545	2103
206	547	2096
207	549	2092
208	551	2085
209	552	2079
210	555	2076
211	557	2070
212	559	2067
213	561	2061
214	563	2055
215	564	2050
216	566	2043
217	567	2037
218	569	2032
219	571	2025
220	573	2020
221	574	2014
222	576	2008
223	577	2002
224	579	1996
225	581	1990
226	583	1985
227	585	1981
228	587	1976
229	588	1971
230	590	1966
231	592	1961
232	594	1955
233	595	1950
234	597	1945
235	599	1940
236	601	1936
237	603	1931
238	604	1925
239	606	1920
240	608	1915
241	609	1910
242	611	1906
243	613	1902
244	615	1897
245	617	1893
246	619	1888
247	620	1882
248	622	1878
249	624	1873
250	626	1868
251	628	1864
252	629	1859
253	631	1854
254	633	1850
255	635	1845
256	636	1840
257	638	1836
258	640	1832
259	642	1828
260	644	1825
261	646	1820
262	647	1815
263	650	1812
264	651	1807
265	653	1803
266	655	1799
267	657	1794
268	658	1789
269	660	1786
270	662	1782
271	664	1777
272	666	1774
273	668	1770
274	669	1765
275	671	1761
276	673	1757
277	675	1753
278	676	1749
279	678	1744
280	680	1741
281	682	1738
282	684	1735
283	686	1731
284	688	1727
285	690	1723
286	692	1720
287	694	1716
288	695	1712
289	697	1708
290	699	1703
291	700	1698
292	702	1694
293	703	1690
294	705	1686
295	707	1682
296	709	1678
297	711	1675
298	713	1671
299	714	1668
300	716	1664
301	718	1660
302	719	1656
303	722	1653
304	724	1649
305	725	1644
306	726	1640
307	728	1637
308	730	1633
309	732	1629
310	734	1626
311	735	1622
312	737	1618
313	739	1615
314	741	1611
315	742	1607
316	744	1603
317	746	1600
318	747	1596
319	749	1593
320	751	1589
321	753	1585
322	754	1581
323	756	1578
324	758	1574
325	760	1571
326	761	1568
327	763	1564
328	765	1560
329	767	1557
330	768	1553
331	770	1549
332	772	1546
333	773	1543
334	775	1539
335	776	1535
336	778	1531
337	780	1528
338	781	1524
339	783	1521
340	785	1518
341	787	1515
342	790	1513
343	791	1509
344	793	1506
345	795	1503
346	796	1499
347	798	1496
348	800	1493
349	802	1490
350	804	1487
351	806	1485
352	808	1482
353	810	1479
354	812	1475
355	814	1472
356	815	1469
357	817	1466
358	819	1463
359	821	1460
360	823	1457
361	825	1455
362	826	1451
363	829	1448
364	831	1446
365	833	1443
366	834	1438
367	836	1435
368	837	1432
369	839	1429
370	840	1424
371	842	1421
372	843	1418
373	845	1415
374	847	1412
375	848	1408
376	850	1406
377	852	1402
378	854	1399
379	855	1396
380	857	1393
381	859	1390
382	861	1387
383	862	1384
384	864	1381
385	866	1378
386	868	1375
387	870	1372
388	871	1369
389	873	1366
390	875	1363
391	877	1360
392	879	1357
393	880	1354
394	882	1351
395	884	1349
396	886	1346
397	888	1343
398	889	1340
399	891	1336
400	892	1333
401	894	1331
402	896	1327
403	898	1324
404	900	1322
405	901	1319
406	903	1316
407	905	1313
408	906	1310
409	908	1307
410	910	1304
411	912	1302
412	914	1299
413	916	1296
414	917	1293
415	919	1290
416	921	1288
417	923	1285
418	924	1282
419	926	1279
420	929	1277
421	931	1275
422	933	1273
423	935	1270
424	936	1267
425	938	1264
426	939	1261
427	941	1258
428	943	1255
429	945	1252
430	947	1250
431	948	1247
432	950	1244
433	952	1241
434	954	1239
435	955	1236
436	958	1234
437	960	1232
438	962	1229
439	964	1227
440	966	1224
441	969	1223
442	971	1221
443	973	1219
444	976	1217
445	977	1214
446	979	1212
447	982	1210
448	984	1207
449	986	1205
450	988	1203
451	991	1201
452	993	1199
453	995	1197
454	997	1194
455	999	1192
456	1001	1189
457	1002	1186
458	1004	1183
459	1006	1181
460	1008	1178
461	1009	1175
462	1011	1173
463	1013	1170
464	1015	1167
465	1017	1165
466	1018	1162
467	1020	1160
468	1022	1157
469	1024	1154
470	1025	1152
471	1027	1149
472	1029	1146
473	1030	1144
474	1032	1141
475	1034	1138
476	1036	1136
477	1038	1133
478	1040	1131
479	1041	1128
480	1044	1126
481	1045	1124
482	1047	1121
483	1049	1119
484	1051	1116
485	1053	1114
486	1056	1112
487	1058	1110
488	1059	1107
489	1061	1104
490	1063	1102
491	1065	1099
492	1066	1097
493	1068	1094
494	1070	1092
495	1072	1089
496	1074	1087
497	1076	1084
