iter	Passed	Remaining
0	1659	81294
1	2972	71349
2	4271	66914
3	5572	64089
4	6652	59870
5	7863	57667
6	8973	55123
7	10180	53446
8	11326	51600
9	12398	49594
10	13369	47400
11	14384	45550
12	15208	43286
13	16201	41661
14	17141	39996
15	18263	38809
16	19202	37275
17	20089	35715
18	20944	34173
19	21806	32709
20	22744	31408
21	23719	30188
22	24687	28981
23	25660	27798
24	26688	26688
25	27751	25616
26	28805	24537
27	29802	23416
28	31099	22520
29	32124	21416
30	33403	20472
31	34407	19354
32	35580	18329
33	36676	17259
34	37609	16118
35	38520	14980
36	39443	13858
37	40348	12741
38	41249	11634
39	42153	10538
40	43063	9453
41	43986	8378
42	44853	7301
43	45716	6234
44	46582	5175
45	47405	4122
46	48331	3084
47	49296	2054
48	50348	1027
49	50383	0
